user_id,simple_status,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,result,lsat,softs,urm,non_trad,gpa,years_out,is_military,is_character_and_fitness_issues,school_name,cycle,decision,color,marker,splits
45867,Accepted,2018-11-22,2018-11-26,2018-12-04,,,,2019-01-15,Accepted,171.0,T3,False,False,4.04,1.0,,,Northwestern University,19,A,green,triangle-se,green
45870,Waitlisted,2018-10-03,,,,,,2019-02-22,Waitlisted,157.0,,False,True,3.83,5.0,,,Northwestern University,19,WL,orange,triangle-se,orange
45870,Accepted,2018-10-17,,2019-01-19,,,,2019-01-15,Accepted,157.0,,False,True,3.83,5.0,,,University of Michigan,19,A,green,triangle-se,green
45873,Accepted,2018-11-30,2018-11-30,2018-12-20,,,,2019-01-16,Accepted,156.0,,False,False,4.12,1.0,,,University of Michigan,19,A,green,triangle-se,black
45873,Waitlisted,2018-12-14,2018-12-14,2019-01-09,,,,2019-02-19,Waitlisted,156.0,,False,False,4.12,1.0,,,University of Pennsylvania,19,WL,orange,triangle-se,black
45873,Rejected,2018-12-04,2018-12-04,2018-12-12,,,,2019-02-15,Rejected,156.0,,False,False,4.12,1.0,,,University of Chicago,19,R,red,triangle-se,black
45873,Waitlisted,2018-11-26,2018-11-26,2018-12-10,,,,2019-02-20,Waitlisted,156.0,,False,False,4.12,1.0,,,Northwestern University,19,WL,orange,triangle-se,black
45873,Rejected,2018-11-11,2018-11-11,2018-11-16,,,,2019-02-22,Rejected,156.0,,False,False,4.12,1.0,,,University of California—Berkeley,19,R,red,triangle-se,black
45895,Rejected,2018-10-21,2018-10-22,,,,,2019-01-11,Rejected,166.0,,False,True,3.3,3.0,,,University of Michigan,19,R,red,triangle-se,red
45904,Rejected,2018-12-17,2019-01-08,2019-01-10,,,,2019-03-01,Rejected,168.0,,False,False,3.72,0.0,,,Northwestern University,19,R,red,triangle-se,red
45904,Rejected,2019-01-05,2019-01-05,2019-01-07,,,,2019-01-28,Rejected,168.0,,False,False,3.72,0.0,,,University of Pennsylvania,19,R,red,triangle-se,red
45904,Rejected,2018-12-12,2018-12-13,2019-01-03,,,,2019-03-08,Rejected,168.0,,False,False,3.72,0.0,,,University of Chicago,19,R,red,triangle-se,red
45904,Rejected,2019-01-13,2019-01-13,2019-01-18,,,,2019-03-28,Rejected,168.0,,False,False,3.72,0.0,,,University of California—Berkeley,19,R,red,triangle-se,red
45904,Rejected,2018-11-15,2018-11-19,2018-12-10,,,,2019-03-14,Rejected,168.0,,False,False,3.72,0.0,,,Stanford University,19,R,red,triangle-se,red
45904,Rejected,2019-01-03,2019-01-04,2019-01-22,,,,2019-03-18,Rejected,168.0,,False,False,3.72,0.0,,,University of Michigan,19,R,red,triangle-se,red
45908,Waitlisted,2019-01-07,,,,,,2019-02-08,Waitlisted,161.0,,True,False,3.0,3.0,,,University of Michigan,19,WL,orange,triangle-se,orange
45915,Rejected,2018-09-30,2018-10-01,,,,,2019-01-22,Rejected,167.0,,False,False,3.78,1.0,,,Stanford University,19,R,red,triangle-se,red
45915,Rejected,2018-10-07,2018-10-08,,,,,2019-03-28,Rejected,167.0,,False,False,3.78,1.0,,,University of California—Berkeley,19,R,red,triangle-se,red
45917,Accepted,2018-10-18,2019-01-18,2018-10-24,,,,2019-01-15,Accepted,170.0,,False,False,3.64,1.0,,,University of Pennsylvania,19,A,green,triangle-se,green
45917,Accepted,2018-10-09,2019-01-10,2018-10-10,,,,2018-12-14,Accepted,170.0,,False,False,3.64,1.0,,,University of Virginia,19,A,green,triangle-se,green
45917,Accepted,2018-10-18,2018-10-19,2018-10-26,,,,2018-12-18,Accepted,170.0,,False,False,3.64,1.0,,,University of Michigan,19,A,green,triangle-se,green
45919,Rejected,2018-12-21,,,,,,2019-02-08,Rejected,165.0,,False,False,3.58,,,,University of Michigan,19,R,red,triangle-se,red
45919,Rejected,2018-12-01,,,,,,2019-02-19,Rejected,165.0,,False,False,3.58,,,,Harvard University,19,R,red,triangle-se,red
45919,Waitlisted,2018-12-28,,,,,,2019-03-07,Waitlisted,165.0,,False,False,3.58,,,,University of Virginia,19,WL,orange,triangle-se,orange
45924,Rejected,2018-10-23,2018-10-24,2018-10-26,,,,2019-02-04,Rejected,166.0,,False,False,3.47,,,,Harvard University,19,R,red,triangle-se,red
45924,Rejected,2018-12-16,,,,,,2019-04-01,Rejected,166.0,,False,False,3.47,,,,Columbia University,19,R,red,triangle-se,red
45929,Rejected,2018-10-23,,,,,,2019-02-01,Rejected,164.0,,False,False,3.65,1.0,,,New York University,19,R,red,triangle-se,red
45929,Rejected,2018-10-18,,,,,,2019-02-22,Rejected,164.0,,False,False,3.65,1.0,,,University of California—Berkeley,19,R,red,triangle-se,red
45929,Rejected,2018-12-11,,,,,,2019-01-28,Rejected,164.0,,False,False,3.65,1.0,,,University of Pennsylvania,19,R,red,triangle-se,red
45929,Waitlisted,2018-10-15,,,,,,2019-03-01,Waitlisted,164.0,,False,False,3.65,1.0,,,University of Michigan,19,WL,orange,triangle-se,orange
45934,Rejected,2018-09-20,,,,,,2019-02-04,Rejected,166.0,,False,False,3.31,0.0,,,Harvard University,19,R,red,triangle-se,red
45934,Rejected,2018-10-08,,,,,,2019-01-14,Rejected,166.0,,False,False,3.31,0.0,,,University of Michigan,19,R,red,triangle-se,red
45934,Pending,2018-10-18,,,,,,2018-12-26,Pending,166.0,,False,False,3.31,0.0,,,Columbia University,19,P,black,triangle-se,
45939,Accepted,2018-10-24,2018-10-26,2018-11-07,,,,2018-11-29,Accepted,168.0,,False,False,3.83,,,,University of Michigan,19,A,green,triangle-se,green
45939,Rejected,2018-10-20,2018-10-22,2018-10-24,,,,2019-02-04,Rejected,168.0,,False,False,3.83,,,,Harvard University,19,R,red,triangle-se,red
45939,Waitlisted,2018-10-19,2018-10-22,2018-10-31,,,,2018-12-21,Waitlisted,168.0,,False,False,3.83,,,,University of Chicago,19,WL,orange,triangle-se,orange
45939,Waitlisted,2018-10-21,2018-10-21,2018-10-31,,,,2019-02-05,Waitlisted,168.0,,False,False,3.83,,,,University of Pennsylvania,19,WL,orange,triangle-se,orange
45939,Waitlisted,2018-10-19,2018-10-24,2018-10-25,,,,2019-02-20,Waitlisted,168.0,,False,False,3.83,,,,Northwestern University,19,WL,orange,triangle-se,orange
45945,Rejected,2018-11-05,2018-11-06,2018-11-20,,,,2019-02-22,Rejected,151.0,,False,True,2.93,1.0,,,University of California—Berkeley,19,R,red,triangle-se,red
45945,Rejected,2018-11-07,2018-11-08,2018-12-06,,,,2019-02-13,Rejected,151.0,,False,True,2.93,1.0,,,Northwestern University,19,R,red,triangle-se,red
45948,Waitlisted,2018-12-19,2018-12-20,2018-12-20,,,,2019-04-02,Waitlisted,168.0,,False,False,3.54,1.0,,,University of Virginia,19,WL,orange,triangle-se,orange
45958,Rejected,2018-09-30,2018-10-01,2018-10-08,,,,2018-11-12,Rejected,165.0,,False,False,3.44,0.0,,,University of Virginia,19,R,red,triangle-se,red
45963,Rejected,2018-09-20,,,,,,2019-02-04,Rejected,168.0,,True,True,3.04,3.0,,,Harvard University,19,R,red,triangle-se,red
45963,Waitlisted,2018-09-27,,,,,,2019-02-08,Waitlisted,168.0,,True,True,3.04,3.0,,,University of Michigan,19,WL,orange,triangle-se,orange
45972,Rejected,2019-01-27,,,,,,2019-03-12,Rejected,159.0,,True,False,3.71,0.0,,,Harvard University,19,R,red,triangle-se,red
45972,Waitlisted,2019-02-15,,,,,,2019-04-12,Waitlisted,159.0,,True,False,3.71,0.0,,,University of Chicago,19,WL,orange,triangle-se,orange
45972,Waitlisted,2019-02-15,,,,,,2019-04-05,Waitlisted,159.0,,True,False,3.71,0.0,,,University of Michigan,19,WL,orange,triangle-se,orange
45972,Rejected,2019-01-27,,,,,,2019-03-28,Rejected,159.0,,True,False,3.71,0.0,,,University of California—Berkeley,19,R,red,triangle-se,red
45972,Waitlisted,2019-02-15,,,,,,2019-03-07,Waitlisted,159.0,,True,False,3.71,0.0,,,University of Virginia,19,WL,orange,triangle-se,orange
45972,Waitlisted,2019-02-15,,,,,,2019-04-11,Waitlisted,159.0,,True,False,3.71,0.0,,,Columbia University,19,WL,orange,triangle-se,orange
45972,Rejected,2018-12-27,2019-01-02,,,,,2019-03-13,Rejected,159.0,,True,False,3.71,0.0,,,Northwestern University,19,R,red,triangle-se,red
45976,Accepted,2018-10-27,,2018-10-31,,,,2019-01-15,Accepted,162.0,,True,False,3.71,1.0,,,Columbia University,19,A,green,triangle-se,green
45976,Accepted,2018-10-27,,2018-10-28,,,,2018-11-28,Accepted,162.0,,True,False,3.71,1.0,,,New York University,19,A,green,triangle-se,green
45976,Accepted,2018-10-27,,2018-10-29,,,,2018-12-12,Accepted,162.0,,True,False,3.71,1.0,,,University of Virginia,19,A,green,triangle-se,green
45976,Accepted,2018-10-27,,2018-10-29,,,,2019-01-11,Accepted,162.0,,True,False,3.71,1.0,,,University of California—Berkeley,19,A,green,triangle-se,green
45980,Accepted,2018-10-01,,2018-10-08,,,,2018-12-17,Accepted,160.0,T2,True,False,3.34,0.0,,,Columbia University,19,A,green,triangle-se,green
45982,Waitlisted,2018-12-23,2018-12-23,2019-01-17,,,,2019-03-15,Waitlisted,172.0,,False,False,3.89,1.0,,,University of Pennsylvania,19,WL,orange,triangle-se,orange
45982,Waitlisted,2018-12-23,2018-12-23,2019-01-02,,,,2019-04-29,Waitlisted,172.0,,False,False,3.89,1.0,,,New York University,19,WL,orange,triangle-se,orange
45982,Accepted,2018-12-24,2018-12-24,2019-01-17,,,,2019-03-04,Accepted,172.0,,False,False,3.89,1.0,,,Columbia University,19,A,green,triangle-se,green
